price,area,bedrooms,bathrooms,stories,parking,mainroad_no,mainroad_yes,guestroom_no,guestroom_yes,basement_no,basement_yes,hotwaterheating_no,hotwaterheating_yes,airconditioning_no,airconditioning_yes,prefarea_no,prefarea_yes,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,area_x_bedrooms
13300000,1.0467262882352133,1.4034193573588298,1.4218117367065486,1.3782169202337835,1.5176924895404067,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,1.4689959347656563
12250000,1.7570095257333957,1.4034193573588298,5.405808633904846,2.53202371213457,2.679409353022881,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,2.465821179478105
12250000,2.218232407225722,0.047278311684073836,1.4218117367065486,0.22441012833299692,1.5176924895404067,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False,0.10487428313653109
12215000,1.0836241187545992,1.4034193573588298,1.4218117367065486,0.22441012833299692,2.679409353022881,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,1.5207790643611079
11410000,1.0467262882352133,1.4034193573588298,-0.5701867118926005,0.22441012833299692,1.5176924895404067,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,1.4689959347656563
10850000,1.0836241187545992,0.047278311684073836,3.4138101853056977,-0.9293966635677897,1.5176924895404067,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,0.05123191883485978
10150000,1.5817448307663118,1.4034193573588298,3.4138101853056977,2.53202371213457,1.5176924895404067,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,2.2198513138997082
10150000,5.096263187737839,2.7595604030335856,3.4138101853056977,0.22441012833299692,-0.8057412374245417,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,14.063446096319057
9870000,1.3603578476499951,1.4034193573588298,-0.5701867118926005,0.22441012833299692,1.5176924895404067,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,1.909152536326997
9800000,0.2764840761430282,0.047278311684073836,1.4218117367065486,2.53202371213457,0.35597562605793237,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,0.013071700327573292
9800000,3.712594543260859,0.047278311684073836,-0.5701867118926005,0.22441012833299692,1.5176924895404067,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,0.17552520197287863
9681000,0.39178979651610985,1.4034193573588298,3.4138101853056977,0.22441012833299692,1.5176924895404067,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,0.5498453844463855
9310000,0.6454623813368893,1.4034193573588298,1.4218117367065486,0.22441012833299692,0.35597562605793237,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,0.9058544004151171
9240000,-0.761267407214706,1.4034193573588298,1.4218117367065486,0.22441012833299692,1.5176924895404067,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,-1.0683774154114853
9240000,1.2219909832022973,0.047278311684073836,1.4218117367065486,0.22441012833299692,-0.8057412374245417,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,0.05777367057896605
9100000,0.39178979651610985,1.4034193573588298,-0.5701867118926005,0.22441012833299692,1.5176924895404067,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,0.5498453844463855
